app,appLabel
http://www.wikidata.org/entity/Q4437542,Direct Connect Hublist
http://www.wikidata.org/entity/Q4545331,3D Studio mesh-file format
http://www.wikidata.org/entity/Q2679202,nds
http://www.wikidata.org/entity/Q2375766,Synchronized Accessible Media Interchange
http://www.wikidata.org/entity/Q2645786,TermBase eXchange
http://www.wikidata.org/entity/Q2661480,BSON
http://www.wikidata.org/entity/Q3359717,Public Key Cryptography Standard 12
http://www.wikidata.org/entity/Q3509055,STEP file
http://www.wikidata.org/entity/Q3513566,tab-separated values
http://www.wikidata.org/entity/Q3943569,SEG-Y
http://www.wikidata.org/entity/Q4042481,LOGML
http://www.wikidata.org/entity/Q4050476,Storage and eXchange Format
http://www.wikidata.org/entity/Q3959179,shar
http://www.wikidata.org/entity/Q2297620,Software Package Data Exchange
http://www.wikidata.org/entity/Q2332937,Windows Media Player Playlist
http://www.wikidata.org/entity/Q2389386,Interleaved Bitmap
http://www.wikidata.org/entity/Q2658179,Virtual Machine Disk
http://www.wikidata.org/entity/Q2816480,3DXML
http://www.wikidata.org/entity/Q2904278,Biovision Hierarchy
http://www.wikidata.org/entity/Q3359832,Product Representation Compact
http://www.wikidata.org/entity/Q3551300,Universal Subtitle Format
http://www.wikidata.org/entity/Q3570128,utmp
http://www.wikidata.org/entity/Q4027918,Java Application Descriptor
http://www.wikidata.org/entity/Q2276274,System.map
http://www.wikidata.org/entity/Q2371344,TeX font metric
http://www.wikidata.org/entity/Q2461500,iOS application archive
http://www.wikidata.org/entity/Q2609791,Blu-ray Disc Audio-Video MPEG-2 Transport Stream container file format
http://www.wikidata.org/entity/Q2931732,CMX file format
http://www.wikidata.org/entity/Q3091333,Flash XML Graphics
http://www.wikidata.org/entity/Q3811908,karaoke file
http://www.wikidata.org/entity/Q3841253,MDL Molfile
http://www.wikidata.org/entity/Q3875646,News Industry Text Format
http://www.wikidata.org/entity/Q3928239,RDOFF
http://www.wikidata.org/entity/Q3928266,RF64
http://www.wikidata.org/entity/Q4227995,eMule collection
http://www.wikidata.org/entity/Q4389389,Assembly (CLI)
http://www.wikidata.org/entity/Q3063041,Filmbox
http://www.wikidata.org/entity/Q3339116,Newick tree format
http://www.wikidata.org/entity/Q3493079,MPEG-4 Scalable Lossless Coding
http://www.wikidata.org/entity/Q3563777,MicroDVD
http://www.wikidata.org/entity/Q3564764,Word Perfect Graphics
http://www.wikidata.org/entity/Q3964876,Pentax Electronic File
http://www.wikidata.org/entity/Q4027909,Network Bootable Image
http://www.wikidata.org/entity/Q4047883,Long-term prediction
http://www.wikidata.org/entity/Q4053288,XAML Browser Applications
http://www.wikidata.org/entity/Q4827801,Avatar
http://www.wikidata.org/entity/Q4645195,8-Bit Sampled Voice
http://www.wikidata.org/entity/Q4650636,ACE file format
http://www.wikidata.org/entity/Q4684000,ShockWave Component
http://www.wikidata.org/entity/Q5010817,CFS
http://www.wikidata.org/entity/Q4746193,Amiga Disk File
http://www.wikidata.org/entity/Q5013743,Corel Photo-Paint Image
http://www.wikidata.org/entity/Q5013789,CPack
http://www.wikidata.org/entity/Q5153426,Common Log Format
http://www.wikidata.org/entity/Q5381415,Envoy
http://www.wikidata.org/entity/Q5400393,SAWSDL
http://www.wikidata.org/entity/Q5616826,ChordPro
http://www.wikidata.org/entity/Q5924007,JS
http://www.wikidata.org/entity/Q6717445,MRC
http://www.wikidata.org/entity/Q6158460,Video Recording Object file
http://www.wikidata.org/entity/Q6304258,QWK
http://www.wikidata.org/entity/Q6542498,Library Exchange Format
http://www.wikidata.org/entity/Q6667704,Logluv TIFF
http://www.wikidata.org/entity/Q6457314,LBR
http://www.wikidata.org/entity/Q6912474,Mork
http://www.wikidata.org/entity/Q7119344,PICtor PIC image format
http://www.wikidata.org/entity/Q4834563,BAI
http://www.wikidata.org/entity/Q4792459,Arm Image Format
http://www.wikidata.org/entity/Q4841355,BagIt
http://www.wikidata.org/entity/Q4875438,Be-Music Source
http://www.wikidata.org/entity/Q5009675,CCP4
http://www.wikidata.org/entity/Q5264263,Design Exchange Format
http://www.wikidata.org/entity/Q5282288,Disk Copy Fast
http://www.wikidata.org/entity/Q5639159,Haiku Vector Icon Format
http://www.wikidata.org/entity/Q5765552,Hina-Di
http://www.wikidata.org/entity/Q6109015,JScript.Encode
http://www.wikidata.org/entity/Q5371138,MPQ
http://www.wikidata.org/entity/Q6694727,Lpod
http://www.wikidata.org/entity/Q6717026,MOI
http://www.wikidata.org/entity/Q6753724,MapInfo TAB format
http://www.wikidata.org/entity/Q7165869,People Finder Interchange Format
http://www.wikidata.org/entity/Q4769584,Annodex
http://www.wikidata.org/entity/Q4928413,Blorb
http://www.wikidata.org/entity/Q5010020,CDXML
http://www.wikidata.org/entity/Q5013387,COM Structured Storage
http://www.wikidata.org/entity/Q5165072,Content Sealed Format
http://www.wikidata.org/entity/Q5183527,Creative Music Format
http://www.wikidata.org/entity/Q5205563,Downloadable Sounds
http://www.wikidata.org/entity/Q5531823,General Data Format for Biomedical Signals
http://www.wikidata.org/entity/Q5636096,HTML Components
http://www.wikidata.org/entity/Q6128185,SigmaTel Motion Video
http://www.wikidata.org/entity/Q6349766,VCDIFF
http://www.wikidata.org/entity/Q5323042,EGG
http://www.wikidata.org/entity/Q6715113,MD3
http://www.wikidata.org/entity/Q6731061,Magick Image File Format
http://www.wikidata.org/entity/Q7073077,OTA bitmap
http://www.wikidata.org/entity/Q5974466,ISO base media file format
http://www.wikidata.org/entity/Q6978994,National Transfer Format
